역명,날짜,수치
청량리,2020-11-10 17:55,54.7
제기동,2020-11-10 17:55,100.19
신설동,2020-11-10 17:55,108.36
동묘앞,2020-11-10 17:55,84.31
동대문,2020-11-10 17:55,96.67
청량리,2020-11-15 20:16,60.06
제기동,2020-11-15 20:16,118.66
신설동,2020-11-15 20:16,143.2
동묘앞,2020-11-15 20:16,77.04
동대문,2020-11-15 20:16,117.39
청량리,2020-11-17 20:17,60.06
제기동,2020-11-17 20:17,118.66
신설동,2020-11-17 20:17,143.2
동묘앞,2020-11-17 20:17,76.74
동대문,2020-11-17 20:17,117.13
청량리,2020-11-18 14:18,41.24
제기동,2020-11-18 14:18,80.87
신설동,2020-11-18 14:18,84.57
동묘앞,2020-11-18 14:18,58.83
동대문,2020-11-18 14:18,109.98
청량리,2020-11-18 14:19,41.24
제기동,2020-11-18 14:19,80.87
신설동,2020-11-18 14:19,84.57
동묘앞,2020-11-18 14:19,58.83
동대문,2020-11-18 14:19,109.98
청량리,2020-11-21 14:15,29.2
제기동,2020-11-21 14:15,80.08
신설동,2020-11-21 14:15,71.53
동묘앞,2020-11-21 14:15,60.22
동대문,2020-11-21 14:15,84.82
청량리,2020-11-23 0:20,30.89
제기동,2020-11-23 0:20,58.47
신설동,2020-11-23 0:20,63.57
동묘앞,2020-11-23 0:20,61.75
동대문,2020-11-23 0:20,79.76
청량리,2020-11-24 12:54,38.28
제기동,2020-11-24 12:54,110.12
신설동,2020-11-24 12:54,92.02
동묘앞,2020-11-24 12:54,82.57
동대문,2020-11-24 12:54,88.3
청량리,2020-11-25 22:47,53.29
제기동,2020-11-25 22:47,206.06
신설동,2020-11-25 22:47,108.25
동묘앞,2020-11-25 22:47,73.49
동대문,2020-11-25 22:47,121.45
