년,월,시도명,수출건수(건),수입건수(건),수출금액(USE 1000),수입금액(USE 1000)
2019,01,서울특별시,187945,705403,5182543,13698248
2019,01,부산광역시,42178,125345,1195540,1377268
2019,01,대구광역시,18967,72034,703294,419526
2019,01,인천광역시,66883,120969,3314049,4094050
2019,01,광주광역시,11000,41202,1185627,512064
2019,01,대전광역시,7498,47117,331214,325573
2019,01,울산광역시,22653,36725,5830581,2966896
2019,01,세종특별자치시,2362,12395,90936,174119
2019,01,제주특별자치도,788,15951,12074,32943
2019,02,서울특별시,171980,572730,4239179,10876020
2019,02,부산광역시,34770,103864,1005977,924195
2019,02,대구광역시,15153,59859,530296,292301
2019,02,인천광역시,56262,96395,2935510,3503090
2019,02,광주광역시,9137,35608,1006510,409133
2019,02,대전광역시,6298,39897,303530,235579
2019,02,울산광역시,19150,30683,5004997,2511141
2019,02,세종특별자치시,1995,10588,95704,85555
2019,02,제주특별자치도,592,13760,9988,24905
2019,03,서울특별시,211183,729293,5021728,13744992
2019,03,부산광역시,41528,128027,1123273,1142762
2019,03,대구광역시,18749,72820,687767,339364
2019,03,인천광역시,72380,122815,3238918,3590347
2019,03,광주광역시,10745,43238,1176509,487865
2019,03,대전광역시,7396,48834,354585,273697
2019,03,울산광역시,21746,37161,5685941,2199346
2019,03,세종특별자치시,2363,12773,110519,86909
2019,03,제주특별자치도,629,17133,12620,31656
2019,04,서울특별시,168684,728685,4900888,13702278
2019,04,부산광역시,42572,130073,1184517,1292614
2019,04,대구광역시,19653,72876,629964,384864
2019,04,인천광역시,153020,124530,3274394,3801403
2019,04,광주광역시,10769,42334,1196326,530973
2019,04,대전광역시,7373,48340,371047,285767
2019,04,울산광역시,22602,37026,6476828,2780106
2019,04,세종특별자치시,2421,12556,92453,96368
2019,04,제주특별자치도,704,16775,12175,26736
2019,05,서울특별시,163836,718379,4959791,13390360
2019,05,부산광역시,42859,130103,1193437,1199020
2019,05,대구광역시,19659,74501,646220,347506
2019,05,인천광역시,160951,124431,3255723,3623418
2019,05,광주광역시,10747,43585,1232670,513277
2019,05,대전광역시,7370,48381,356192,261380
2019,05,울산광역시,22340,38077,6431775,2963685
2019,05,세종특별자치시,2677,12654,97766,573215
2019,05,제주특별자치도,594,17078,9744,42871
2019,06,서울특별시,162708,675193,4451067,12052948
2019,06,부산광역시,39454,121384,1183306,1099552
2019,06,대구광역시,17556,69957,579387,344250
2019,06,인천광역시,194249,114998,3002647,3280753
2019,06,광주광역시,9545,40438,1110200,523786
2019,06,대전광역시,6760,45455,335715,238506
2019,06,울산광역시,21316,35395,5830826,2787601
2019,06,세종특별자치시,2507,11834,94143,78887
2019,06,제주특별자치도,549,15731,10005,28607
2020,01,서울특별시,155202,747668,4293737,13304065
2020,01,부산광역시,38173,140627,962667,1108618
2020,01,대구광역시,16687,82351,566366,382195
2020,01,인천광역시,148766,129835,3086146,3672655
2020,01,광주광역시,8451,47831,1049002,477868
2020,01,대전광역시,6891,53437,461011,391607
2020,01,울산광역시,20400,40769,5546803,2919929
2020,01,세종특별자치시,2435,14885,102309,135759
2020,01,제주특별자치도,617,19466,10840,29670
2020,02,서울특별시,156498,756635,4745371,11379877
2020,02,부산광역시,40109,142617,994248,819165
2020,02,대구광역시,17616,85485,584846,249823
2020,02,인천광역시,196697,126300,3228207,3404596
2020,02,광주광역시,9223,50230,974038,441018
2020,02,대전광역시,7340,56134,371905,227787
2020,02,울산광역시,20786,42643,4738037,2582343
2020,02,세종특별자치시,2571,15963,109377,73470
2020,02,제주특별자치도,675,20791,14679,23413
2020,03,서울특별시,159820,855877,4728063,13009644
2020,03,부산광역시,42198,155600,1105330,1122386
2020,03,대구광역시,18642,91258,606730,346338
2020,03,인천광역시,257348,149112,3844821,3416219
2020,03,광주광역시,10408,51689,1306483,499124
2020,03,대전광역시,7719,61246,406618,268431
2020,03,울산광역시,23977,46119,5423269,2609564
2020,03,세종특별자치시,2635,17632,107927,95023
2020,03,제주특별자치도,514,21828,12972,24602
2020,04,서울특별시,193421,733959,3464582,11940147
2020,04,부산광역시,38195,135122,908423,1106416
2020,04,대구광역시,14825,77508,402955,354499
2020,04,인천광역시,150693,128526,2933273,2961299
2020,04,광주광역시,8132,44783,907244,457138
2020,04,대전광역시,6517,51751,319132,295543
2020,04,울산광역시,18683,39630,4168464,2360812
2020,04,세종특별자치시,2466,14768,92670,100590
2020,04,제주특별자치도,385,19129,10753,16646
2020,05,서울특별시,269616,742535,2994223,10600336
2020,05,부산광역시,36068,139129,741768,972274
2020,05,대구광역시,15202,79470,348603,315337
2020,05,인천광역시,137928,131402,2671905,2715035
2020,05,광주광역시,7366,46318,746329,511134
2020,05,대전광역시,6161,52020,334312,265814
2020,05,울산광역시,14973,39717,3373946,1798721
2020,05,세종특별자치시,2161,14084,84031,86008
2020,05,제주특별자치도,399,19619,9729,16312
2020,06,서울특별시,394595,766800,3805205,11248116
2020,06,부산광역시,42753,138851,805282,1038331
2020,06,대구광역시,16669,79689,432247,362645
2020,06,인천광역시,155650,131970,2801569,2886774
2020,06,광주광역시,9582,45918,1069499,496170
2020,06,대전광역시,7179,52555,389903,296781
2020,06,울산광역시,17849,39346,3762010,1663040
2020,06,세종특별자치시,2446,14152,98983,120693
2020,06,제주특별자치도,470,19004,10228,22578
